seed,mode,scenario,requests,success_rate,user_facing_connect_failures,primary_connect_attempts,backup_selections,preemptive_failovers,warm_hits,recovery_probes_ok,recovery_probes_fail,background_prewarm_connects,physical_connects,mean_checkout_latency_sim_ms
10,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,99,1,0.200
10,predictive,evening-stable,80,1.0000,2,2,78,76,76,1,2,76,4,1.125
10,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
10,predictive,reuse-off,1000,1.0000,15,985,15,0,0,0,0,0,1000,20.000
10,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
10,predictive,pattern-shift-h14,90,1.0000,0,0,90,90,90,0,3,89,0,0.000
10,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
11,reactive,morning-healthy,100,1.0000,16,84,16,0,0,0,0,0,100,24.200
11,reactive,bad-window,100,0.9900,93,8,91,0,0,0,0,0,99,20.600
11,reactive,evening-stable,80,0.9875,7,74,5,0,0,0,0,0,79,24.875
11,reactive,window-start,181,1.0000,0,67,114,0,0,0,0,0,181,21.851
11,reactive,reuse-off,1000,1.0000,15,985,15,0,0,0,0,0,1000,20.000
11,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
11,reactive,pattern-shift-h14,90,1.0000,13,77,13,0,0,0,0,0,90,24.278
11,reactive,pattern-shift-h15,90,1.0000,76,14,76,0,0,0,0,0,90,20.778
11,circuit_breaker,morning-healthy,100,0.9900,5,8,92,0,0,0,0,0,99,20.600
11,circuit_breaker,bad-window,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
11,circuit_breaker,evening-stable,80,1.0000,4,4,76,0,0,0,0,0,80,20.250
11,circuit_breaker,window-start,181,0.9834,1,0,181,0,0,0,0,0,178,20.331
11,circuit_breaker,reuse-off,1000,1.0000,15,985,15,0,0,0,0,0,1000,20.000
11,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
11,circuit_breaker,pattern-shift-h14,90,1.0000,5,8,82,0,0,0,0,0,90,20.444
11,circuit_breaker,pattern-shift-h15,90,0.9889,3,0,90,0,0,0,0,0,89,20.222
11,predictive,morning-healthy,100,1.0000,4,53,47,43,43,0,2,42,57,14.050
11,predictive,bad-window,100,1.0000,1,0,100,99,99,2,2,97,1,0.200
11,predictive,evening-stable,80,1.0000,3,32,48,45,45,0,2,46,35,10.750
11,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.006
11,predictive,reuse-off,1000,1.0000,15,985,15,0,0,0,0,0,1000,20.000
11,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
11,predictive,pattern-shift-h14,90,0.9889,3,20,69,68,68,2,1,67,21,6.667
11,predictive,pattern-shift-h15,90,1.0000,1,0,90,89,89,1,2,89,1,0.222
12,reactive,morning-healthy,100,1.0000,19,81,19,0,0,0,0,0,100,24.050
12,reactive,bad-window,100,1.0000,81,19,81,0,0,0,0,0,100,20.950
12,reactive,evening-stable,80,1.0000,14,66,14,0,0,0,0,0,80,24.125
12,reactive,window-start,181,0.9945,0,59,121,0,0,0,0,0,180,21.740
12,reactive,reuse-off,1000,1.0000,7,993,7,0,0,0,0,0,1000,20.000
12,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
12,reactive,pattern-shift-h14,90,1.0000,20,70,20,0,0,0,0,0,90,23.889
12,reactive,pattern-shift-h15,90,0.9778,82,10,78,0,0,0,0,0,88,21.000
12,circuit_breaker,morning-healthy,100,1.0000,4,3,97,0,0,0,0,0,100,20.150
12,circuit_breaker,bad-window,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
12,circuit_breaker,evening-stable,80,1.0000,3,25,55,0,0,0,0,0,80,21.563
12,circuit_breaker,window-start,181,0.9890,0,0,181,0,0,0,0,0,179,20.221
12,circuit_breaker,reuse-off,1000,1.0000,7,993,7,0,0,0,0,0,1000,20.000
12,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
12,circuit_breaker,pattern-shift-h14,90,1.0000,5,28,62,0,0,0,0,0,90,21.556
12,circuit_breaker,pattern-shift-h15,90,0.9778,4,0,90,0,0,0,0,0,88,20.444
12,predictive,morning-healthy,100,1.0000,2,29,71,69,69,1,2,68,31,7.650
12,predictive,bad-window,100,1.0000,2,1,99,97,97,1,3,97,3,0.650
12,predictive,evening-stable,80,1.0000,2,14,66,64,64,1,2,64,16,4.875
12,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
12,predictive,reuse-off,1000,1.0000,7,993,7,0,0,0,0,0,1000,20.000
12,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
12,predictive,pattern-shift-h14,90,1.0000,2,34,56,54,54,1,2,53,36,9.900
12,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
13,reactive,morning-healthy,100,1.0000,15,85,15,0,0,0,0,0,100,24.250
13,reactive,bad-window,100,1.0000,84,16,84,0,0,0,0,0,100,20.800
13,reactive,evening-stable,80,1.0000,14,66,14,0,0,0,0,0,80,24.125
13,reactive,window-start,181,0.9834,1,69,109,0,0,0,0,0,178,22.238
13,reactive,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
13,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
13,reactive,pattern-shift-h14,90,1.0000,21,69,21,0,0,0,0,0,90,23.833
13,reactive,pattern-shift-h15,90,1.0000,75,15,75,0,0,0,0,0,90,20.833
13,circuit_breaker,morning-healthy,100,1.0000,6,26,74,0,0,0,0,0,100,21.300
13,circuit_breaker,bad-window,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
13,circuit_breaker,evening-stable,80,0.9750,6,30,50,0,0,0,0,0,78,22.375
13,circuit_breaker,window-start,181,0.9890,0,0,181,0,0,0,0,0,179,20.221
13,circuit_breaker,reuse-off,1000,1.0000,9,991,9,0,0,0,0,0,1000,20.000
13,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
13,circuit_breaker,pattern-shift-h14,90,1.0000,6,22,68,0,0,0,0,0,90,21.222
13,circuit_breaker,pattern-shift-h15,90,1.0000,4,1,89,0,0,0,0,0,90,20.056
13,predictive,morning-healthy,100,1.0000,2,9,91,89,89,1,2,88,11,2.650
13,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,99,1,0.200
